timestamp,industry,cleaned_text,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_score
2025-01-01 00:00:03+00:00,Agri,"turn the page to 2025. an unwritten chapter of ↳ growth, ↳ opportunities, & ↳ dreams. embrace the journey and make every moment count. happy new year elite's!",0.0961947813630104,0.015723682940006256,0.8880815505981445,0.08047109842300415
2025-01-01 00:20:33+00:00,Agri,i beg to differ domestic terrorists failed attempt to overthrow the duly elected pm shitting in the streets and on sacred monuments terrorizing the people of ottawa stealing from food banks closing down stores and malls blocking streets blocking borders and trade disgusted,0.012528861872851849,0.9201230406761169,0.06734805554151535,-0.9075941788032651
2025-01-01 01:00:00+00:00,Agri,"marketplace the marketplace is a platform that allows users to buy, sell, and trade. glq templates and other types of automation. it allows users to connect with other users to offer or request specific types of automation. $glq",0.03526464104652405,0.015424320474267006,0.9493110775947571,0.019840320572257042
2025-01-01 01:07:09+00:00,Agri,"from possible deportations to higher tariffs, here’s how these inc. 5000 food companies are preparing for the year ahead.",0.06715540587902069,0.02305460534989834,0.9097900390625,0.04410080052912235
2025-01-01 01:24:12+00:00,Agri,"time to gather and welcome the new year! celebrate with loved ones as laughter fills the air. sit in the park, enjoy music, and savor delicious street food. witness the first stunning fireworks lighting up the sky! happy new year everyone !",0.14433184266090393,0.019403470680117607,0.8362647294998169,0.12492837198078632
2025-01-01 01:27:38+00:00,Agri,"happy new year, kings! we made it to 2025—surviving the dips, riding the pumps, and (hopefully) keeping our bags intact! this year, let’s aim for fewer rugs, more moons, and less 3 a.m. chart-staring. 2024 was wild, but 2025? it’s the year we trade smarter, hodl wiser, and maybe—just maybe—buy that lambo (or a nice bike). what’s your crypto resolution? mine: resist fomo… but we’ll see. here’s to green candles, epic gains, and a wallet full of wins! cheers!",0.15520328283309937,0.015110733918845654,0.8296859860420227,0.1400925489142537
2025-01-01 04:55:15+00:00,Agri,[1/3] ★ free claim dominate freebies restock (last!) dominate_jkt ★ 𖦹 price only for packing and adm (no refund) 𖦹 max co 1 per orang 𖦹 currently not available for trade :),0.017782509326934814,0.0698799192905426,0.9123375415802002,-0.05209740996360779
2025-01-01 05:21:20+00:00,Agri,"happy new year flowbiz make wafer type nrv (non-return vakve) non-slam disc check valve flowbiz brand disc check valve (wafer type) serves chemical, food processing, pulp and paper, pharmaceuticals. valve flowbiz ballvalve gatevalve butterflyvalleyglobevalve flow",0.0485486164689064,0.013110467232763767,0.9383409023284912,0.035438149236142635
2025-01-01 06:02:02+00:00,Agri,how secure is britain’s food supply? | our food system is vulnerable and it's time to make some radical changes | ali ghanimi,0.09522116184234619,0.1163206472992897,0.7884581685066223,-0.021099485456943512
2025-01-01 06:25:00+00:00,Agri,"2025 is here. are you ready to make this the year your trading finally takes off? stop chasing the hype. start mastering the basics. success isn’t found in signals or shortcuts it’s built on discipline, risk management, and consistency. this is your year to trade smarter, not harder. let’s dominate the charts!",0.09877702593803406,0.017275502905249596,0.883947491645813,0.08150152303278446
2025-01-01 07:12:25+00:00,Agri,"from rice,spices, vegetables,cashew & cotton to coffee,bharat continues to shine as a powerhouse in agri exports! coffee exports crossed $1 billion for 1st time in april -nov 24. this is not just a numerical achievement but a testament to hon pm ji led bharat’s ability to adapt to global market trends&leverage opportunities in agriculture.",0.934146523475647,0.010878566652536392,0.05497488006949425,0.9232679568231106
2025-01-01 08:10:21+00:00,Agri,2024 wrapped up with collecting data all over east africa because it’s the foundation to solve food security! report will be out soon we looking to more grain trade across boarder this 2025! cheers to the “a” team,0.5623241066932678,0.013015924952924252,0.4246600270271301,0.5493081817403436
2025-01-01 08:30:02+00:00,Agri,"it’s veganuary! the source trade show may be next month, but we’re already celebrating the amazing vegan products you’ll discover there! from sustainable snacks to dairy-free delights, our exhibitors have plant-based options to inspire your business all year.",0.173517107963562,0.01213166769593954,0.8143512010574341,0.16138544026762247
